date,location,percent_fully,left
2021-04-20,Colombia,0.02420979125318447,0.029790901789293233
2021-04-21,Colombia,0.025173317613050392,0.030839957892323872
2021-04-22,Colombia,0.025946858672554803,0.03113339644820447
2021-04-23,Colombia,0.026674804832210377,0.031518103415679025
2021-04-24,Colombia,0.027356527196846784,0.03177211810556964
2021-04-25,Colombia,0.027741214511347274,0.031998186266328776
2021-04-27,Colombia,0.0290149237610038,0.032872488123904295
2021-04-28,Colombia,0.02958214789869222,0.03349240188508183
2021-04-29,Colombia,0.03038960999144624,0.0340282598761501
2021-04-30,Colombia,0.031976017711574684,0.0340469498544933
2021-05-01,Colombia,0.03341931247450518,0.033641017675020146
2021-05-02,Colombia,0.03470872445044585,0.03317756124043598
2021-05-07,Colombia,0.04392921203129917,0.031959096500898024
2021-05-10,Colombia,0.0479724183872911,0.03138300887190278
2021-05-11,Colombia,0.04978796013213402,0.03157922416504537
2021-05-12,Colombia,0.05134449533167185,0.03195673814400929
2021-05-13,Colombia,0.052928485735989336,0.03259123441194882
